sleeper_id,fantasypros_id,mfl_id,name,merge_name,position,team
8144,20111,15754,Chris Olave,chris olave,WR,NOS
8148,23677,15756,Jameson Williams,jameson williams,WR,DET
8126,22985,15757,Wan'Dale Robinson,wandale robinson,WR,TEN
8147,22895,15759,John Metchie,john metchie,WR,CAR
8134,23748,15761,Khalil Shakir,khalil shakir,WR,BUF
8137,22963,15762,George Pickens,george pickens,WR,DAL
8142,23791,15768,Alec Pierce,alec pierce,WR,IND
8125,23739,15777,Calvin Austin III,calvin austin,WR,NYG
8121,23794,15779,Romeo Doubs,romeo doubs,WR,NEP
8180,24177,15786,Jalen Nailor,jalen nailor,WR,LVR
8188,22913,15787,Tyquan Thornton,tyquan thornton,WR,KCC
8167,23886,15789,Christian Watson,christian watson,WR,GBP
8130,22936,15794,Trey McBride,trey mcbride,TE,ARI
8127,22756,15795,Charlie Kolar,charlie kolar,TE,LAC
8145,23742,15796,Jeremy Ruckert,jeremy ruckert,TE,NYJ
8172,23153,15797,Greg Dulcich,greg dulcich,TE,MIA
8131,23781,15798,Isaiah Likely,isaiah likely,TE,NYG
8110,22718,15799,Jake Ferguson,jake ferguson,TE,DAL
8111,23181,15802,Cade Otton,cade otton,TE,TBB
8210,23982,15889,Chigoziem Okonkwo,chigoziem okonkwo,TE,WAS
8408,22969,15972,Jordan Mason,jordan mason,RB,MIN
8698,24778,16036,Jake Tonges,jake tonges,TE,SFO
8676,24687,16080,Rashid Shaheed,rashid shaheed,WR,SEA
7523,19780,15237,Trevor Lawrence,trevor lawrence,QB,JAC
7591,19781,15238,Justin Fields,justin fields,QB,KCC
7527,20156,15241,Mac Jones,mac jones,QB,SFO
7543,19231,15253,Travis Etienne,travis etienne,RB,NOS
7528,19302,15254,Najee Harris,najee harris,RB,NYG
7567,23310,15255,Kenneth Gainwell,kenneth gainwell,RB,TBB
7588,22739,15256,Javonte Williams,javonte williams,RB,DAL
7611,22726,15259,Rhamondre Stevenson,rhamondre stevenson,RB,NEP
7594,19792,15261,Chuba Hubbard,chuba hubbard,RB,CAR
7564,19788,15281,Ja'Marr Chase,jamarr chase,WR,CIN
7525,19222,15282,DeVonta Smith,devonta smith,WR,PHI
7526,19790,15284,Jaylen Waddle,jaylen waddle,WR,DEN
7547,19799,15287,Amon-Ra St. Brown,amon-ra st brown,WR,DET
7569,20130,15290,Nico Collins,nico collins,WR,HOU
7571,19794,15293,Rashod Bateman,rashod bateman,WR,BAL
7670,22845,15319,Joshua Palmer,josh palmer,WR,BUF
7553,20164,15329,Kyle Pitts,kyle pitts,TE,ATL
7600,20163,15331,Pat Freiermuth,pat freiermuth,TE,PIT
6770,19196,14777,Joe Burrow,joe burrow,QB,CIN
6768,19198,14778,Tua Tagovailoa,tua tagovailoa,QB,ATL
6797,18635,14779,Justin Herbert,justin herbert,QB,LAC
6804,19246,14782,Jordan Love,jordan love,QB,GBP
6904,19275,14783,Jalen Hurts,jalen hurts,QB,PHI
6790,19210,14797,D'Andre Swift,dandre swift,RB,CHI
6806,19245,14800,J.K. Dobbins,jk dobbins,RB,DEN
